x.1,x.2,x.3,x.4,x.5,x.6,x.7,x.8,x.9,x.10,y,y0
0.695968264,0.456280608,0.738068082,0.57758441,0.439696882,0.200753561,0.335538719,0.910425941,0.64161093,0.322739238,17.75786035,1
0.859214509,0.953233203,0.477093586,0.08344363,0.799699478,0.265195528,0.120467921,0.870388721,0.952023608,0.512748415,9.212855908,0
0.086135306,0.46066237,0.006070696,0.979717449,0.123134813,0.033769893,0.651491171,0.249825776,0.699349767,0.454778872,16.36358327,1
0.572776959,0.284956876,0.327253839,0.149048588,0.392606731,0.920360136,0.475999218,0.334131008,0.77553674,0.115766664,8.153788976,0
0.597851966,0.882968946,0.93247051,0.765605384,0.172534535,0.518750852,0.760580239,0.627895307,0.39014653,0.8871716,21.15075091,2
0.126557937,0.86718245,0.133277015,0.22442936,0.115630005,0.366731544,0.730026867,0.279126799,0.418372586,0.515273964,10.44217302,1
0.701254159,0.833139807,0.607179427,0.874121862,0.38964639,0.62010884,0.531464848,0.671076292,0.131455386,0.183695845,20.560559,2
0.60309148,0.731145382,0.685973632,0.757147415,0.308588578,0.49243349,0.603842509,0.90018604,0.53584289,0.568226948,20.22557123,2
0.653385671,0.593507863,0.665034049,0.482013404,0.71350097,0.760217718,0.774633894,0.359235358,0.498818506,0.313637863,17.97920018,1
0.976701957,0.24786786,0.98276611,0.484795249,0.238675382,0.072472479,0.866075512,0.956291468,0.494077695,0.875616523,17.41621848,1
0.483129686,0.594005386,0.667757419,0.615227423,0.803721868,0.491348351,0.428767586,0.183521951,0.474537309,0.984912761,20.16256955,2
0.18797774,0.617404723,0.344195887,0.38508017,0.705022612,0.865281259,0.899272943,0.764370692,0.367857828,0.271502028,11.09037412,1
0.919905104,0.047663444,0.259413551,0.034281941,0.44212642,0.123578783,0.148609002,0.464481868,0.10350341,0.87959104,4.948861304,0
0.751678584,0.736957389,0.875031898,0.435419917,0.697463052,0.15673925,0.567781349,0.5778548,0.491796314,0.559681697,20.55367707,2
0.966115128,0.678184435,0.597453894,0.103423743,0.259292389,0.440418456,0.590086488,0.39144262,0.753942233,0.334625611,11.60536067,1
0.792136565,0.820201608,0.006739191,0.820627571,0.004563348,0.275806404,0.378175933,0.016814254,0.48295209,0.604453457,22.52777256,2
0.465192624,0.166164866,0.031977476,0.127545791,0.115867807,0.824234658,0.383049042,0.092019584,0.41195049,0.123425567,10.56132558,1
0.514761296,0.148661707,0.977862434,0.654808647,0.479448561,0.050673911,0.077222056,0.98092198,0.643519423,0.338799754,15.65971769,1
0.496226956,0.616420472,0.650251525,0.012365495,0.210142911,0.870358291,0.250613554,0.602870605,0.369858024,0.737552208,8.274101116,0
0.166396313,0.028955995,0.150037405,0.708282297,0.486674252,0.22039501,0.742327616,0.330007711,0.350202929,0.54554056,12.43594922,1
0.757225091,0.122613467,0.746561077,0.889881641,0.951597948,0.751021801,0.383575708,0.456714113,0.779340767,0.394929462,17.84666351,1
